Comment,Designator,Footprint,LCSC Part #
0.1uF,C4,CAPC1005X60,C609894
2K2,R2,RESC1005X40,C25879
2K2,R3,RESC1005X40,C25879
2K2,R4,RESC1005X40,C25879
2K2,R5,RESC1005X40,C25879
2K2,R8,RESC1005X40,C25879
2N7002PV,Q2,2N7002PV,C551422
2N7002PV,Q3,2N7002PV,C551422
2N7002PV,Q4,2N7002PV,C551422
4K7,R1,RESC1005X40,C25900
5.6V,D2,SODFL2513X70,C910052
10uF,C2,CAPC1005X60,C15525
47K,R6,RESC1005X40,C25792
47K,R7,RESC1005X40,C25792
47K,R10,RESC1005X40,C25792
47K,R11,RESC1005X40,C25792
47K,R12,RESC1005X40,C25792
47K,R13,RESC1005X40,C25792
47K,R14,RESC1005X40,C25792
47K,R15,RESC1005X40,C25792
47uF,C1,CAPC3216X135,C172351
47uF,C3,CAPC2012X110,C16780
100R,R9,RESC1608X60,C441885
ATTINY1616-MNR,IC1,QFN40P300X300X90-21N,C507118
BAS4002A-RPP,D1,SOT143,C3589694
NPN,Q1,SC70,C6802847
