Designator,Mid X,Mid Y,Layer,Rotation
C1, 8.97, 9.58,Top,90.0
C2, 2.29,10.66,Top,90.0
C3, 4.57,10.18,Top,90.0
C4, 3.78, 1.37,Top,90.0
D1,12.19,10.24,Top,90.0
D2, 6.35,10.08,Top,90.0
IC1, 7.17, 2.77,Top,45.0
Q1, 6.73, 7.11,Top,180.0
Q2,11.68, 6.60,Top,0.0
Q3,11.68, 2.54,Top,0.0
Q4, 2.03, 4.83,Top,0.0
R1, 8.76, 6.60,Top,0.0
R2,13.35, 5.08,Top,270.0
R3,13.35, 7.11,Top,90.0
R4,13.35, 1.08,Top,270.0
R5,13.35, 3.02,Top,90.0
R6, 4.83, 6.60,Top,90.0
R7, 3.68, 6.60,Top,270.0
R8, 0.62, 6.10,Top,270.0
R9, 1.32, 1.86,Top,270.0
R10,10.41, 5.08,Top,270.0
R11,10.41, 7.01,Top,90.0
R12,10.41, 1.08,Top,270.0
R13,10.41, 3.02,Top,90.0
R14, 0.62, 3.98,Top,270.0
R15, 2.03, 7.11,Top,270.0
